,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
169,loggedout,,,10084887,apartment,apartment,320000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
170,loggedout,,,10084943,apartment,apartment,335000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,,,1,1989885,immodavinci,agency,,,,,classifieddetails,en
171,loggedout,,,10084891,apartment,apartment,345000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
172,loggedout,,,10084885,apartment,apartment,349000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
173,loggedout,,,10084882,apartment,apartment,349000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
174,loggedout,,,10084886,apartment,apartment,350000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
175,loggedout,,,10139639,apartmentgroup,apartmentgroup,352800-772800,forsale,2970,xl,,,,,,,,,,,,,,,,1,667471,redsgroup,agency,,,,,classifieddetails,en
176,loggedout,,,10084892,apartment,apartment,355000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
177,loggedout,,,10084888,apartment,apartment,360000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
178,loggedout,,,10140213,apartment,apartment,390000,forsale,1970,xl,usainstalled,1973,justrenovated,fueloil,176,2,,,true,,true,,,1,,,3884312,,private,,,,,classifieddetails,en
179,loggedout,,,10084883,apartment,apartment,399000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
180,loggedout,,,10084858,apartment,duplex,415000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,true,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
181,loggedout,,,10084857,apartment,duplex,420000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,true,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
182,loggedout,,,10158154,house,house,290000,forsale,7900,m,installed,2021,,gas,,3,515,true,,,,,,,2,1,504697,maisonsbaijot,property_developer,,,,,classifieddetails,en
183,loggedout,,,10158153,house,bungalow,445000,forsale,1410,xl,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,1628452,triorwaterloo,agency,,,,,classifieddetails,en
184,loggedout,,,10158149,apartment,flatstudio,59000,forsale,4000,xl,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,1768158,sciaraimmo,agency,,,,,classifieddetails,en
185,loggedout,,,9641565,house,house,184000,forsale,02550,xl,,,good,gas,,5,155,,true,,true,,,,1,,3160564,atipiimmobilière,agency,,,,,classifieddetails,en
186,loggedout,,,10121293,house,house,275000,forsale,1420,xl,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,1790430,eracedimmobraine-l&#039;alleud,agency,,,,,classifieddetails,en
187,loggedout,,,10158138,housegroup,housegroup,266000-272000,forsale,9600,l,,,,,,,,,,,,,,,2,1,3002339,vakmansvastgoed,agency,,,,,classifieddetails,en
188,loggedout,,,10158124,housegroup,housegroup,345221-346017,forsale,2440,l,,,,,,,,,,,,,,,,1,119988,rdkbouw,property_developer,,,,,classifieddetails,en
189,loggedout,,,10158132,house,house,497000,forsale,3600,l,,2009,good,gas,134,4,1317,,true,,true,true,,,,,3587131,eranobis,agency,,,,,classifieddetails,en
190,loggedout,,,10138601,apartmentgroup,apartmentgroup,455000-915000,forsale,1180,xl,,,,,55,,,,,,,,,3,3,1,2595964,lecobelvaneauventeneuf,real_estate_agency,,,,,classifieddetails,en
191,loggedout,,,10084942,apartment,penthouse,465000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,,,1,1989885,immodavinci,agency,,,,,classifieddetails,en
192,loggedout,,,10138633,apartment,apartment,595000,forsale,1200,xl,usahyperequipped,2008,asnew,gas,122,3,,,true,,true,,,,2,,2538985,keystones,agency,,,,,classifieddetails,en
193,loggedout,,,9592954,apartment,apartment,675000,forsale,1000,xl,hyperequipped,2019,asnew,gas,40,2,,,true,,true,,,,,1,1731013,orientations,agency,,,,,classifieddetails,en
194,loggedout,,,9996903,apartment,apartment,695000,forsale,1050,xl,notinstalled,2022,justrenovated,gas,40,2,,,true,,true,,,1,,1,1731013,orientations,agency,,,,,classifieddetails,en
195,loggedout,,,10042906,apartment,apartment,1537000,forsale,1050,xl,hyperequipped,2015,asnew,gas,63,2,,,true,,true,,,1,1,1,2352,latouretpetitvente,agency,,,,,classifieddetails,en
196,loggedout,,,10123723,apartment,apartment,1839000,forsale,1050,xl,hyperequipped,2015,asnew,gas,63,3,,,true,,true,,,,,1,2352,latouretpetitvente,agency,,,,,classifieddetails,en
197,loggedout,,,10144273,apartment,apartment,260000,forsale,1090,xl,installed,1969,good,gas,700,2,,,,,true,,,,,,3875698,swiximinternationalbelux,agency_paying_with_ogone,,,,,classifieddetails,en
198,loggedout,,,10146804,apartment,apartment,180000,forsale,9000,xl,semiequipped,1993,good,electric,363,1,,,,,,,,,,,3835654,convas,agency,,,,,classifieddetails,en
199,loggedout,,,10137075,apartment,flatstudio,89000,forsale,4500,xl,semiequipped,1980,tobedoneup,gas,436,0,,,,,,,,,,,2222,trevirasquain,agency,,,,,classifieddetails,en
200,loggedout,,,10137774,apartmentgroup,apartmentgroup,194081.48-265799.5,forsale,2930,xl,,,,,,,,,,,,,,,,1,3692659,heylenvastgoedbrasschaat,agency,,,,,classifieddetails,en
201,loggedout,,,10137594,apartment,flatstudio,195000,forsale,1030,xl,usasemiequipped,1967,justrenovated,gas,402,1,,,,,true,,,,,,2305,abitaagenceimmobilièrescrl,agency,,,,,classifieddetails,en
202,loggedout,,,10137324,apartmentgroup,apartmentgroup,222000-362500,forsale,1070,xl,,,,,25,,,,,,,,,57,57,1,2575488,weinvestbruxelles,agency,,,,,classifieddetails,en
203,loggedout,,,10137093,apartmentgroup,apartmentgroup,253575-623700,forsale,2640,xl,,,,,,,,,,,,,,,,1,2034904,habicomvastgoed,agency,,,,,classifieddetails,en
