,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
55,loggedout,,,10145899,apartment,apartment,195000,forsale,2020,xl,installed,1958,good,electric,262,2,,,true,,,,,1,,,1237655,chase,agency,,,,,classifieddetails,en
56,loggedout,,,10145897,apartment,apartment,225000,forsale,2660,xl,installed,2009,asnew,gas,146,2,,,,,true,,,,,,1237655,chase,agency,,,,,classifieddetails,en
57,loggedout,,,10146186,apartment,apartment,275000,forsale,1040,xl,installed,1910,tobedoneup,gas,251,1,,,true,,true,,,,,,1731013,orientations,agency,,,,,classifieddetails,en
58,loggedout,,,10145269,apartment,apartment,275000,forsale,1200,xl,hyperequipped,1970,asnew,gas,149,1,,,true,,true,,,,,,2305,abitaagenceimmobilièrescrl,agency,,,,,classifieddetails,en
59,loggedout,,,10145286,apartmentgroup,apartmentgroup,369000-490000,forsale,9051,xl,,,,,,,,,,,,,,1,,1,1989885,immodavinci,agency,,,,,classifieddetails,en
60,loggedout,,,10152425,apartment,duplex,259000,forsale,1210,xl,usahyperequipped,1950,justrenovated,gas,12,2,,true,,,,true,,,,,668607,,private,,,,,classifieddetails,en
61,loggedout,,,10153863,apartment,apartment,270000,forsale,1040,xl,hyperequipped,1960,justrenovated,gas,267,1,,,,,true,,,,5,,1942392,bathim&amp;col’immobiliersurmesure,agency,,,,,classifieddetails,en
62,loggedout,,,10151669,apartment,penthouse,399000,forsale,1200,xl,installed,1992,good,gas,206,2,,,true,,true,true,,,,,145409,expertissimmo,agency,,,,,classifieddetails,en
63,loggedout,,,10151613,apartment,apartment,460000,forsale,1040,xl,semiequipped,1933,good,gas,245,2,,,true,,true,,,,,,1942392,bathim&amp;col’immobiliersurmesure,agency,,,,,classifieddetails,en
64,loggedout,,,10153836,apartment,apartment,495000,forsale,8793,xl,installed,2018,good,gas,77,2,,,,,true,,,1,,,2289068,immobeguin,agency,,,,,classifieddetails,en
65,loggedout,,,10152032,apartment,apartment,1875000,forsale,8300,xl,usahyperequipped,1978,asnew,gas,165,3,,,,,true,true,,2,2,,2085,immaxknokke,agency,,,,,classifieddetails,en
